name,time/op (ns/op),±
L/512x512x100-1-48,1.68854E+09,3%
L/512x512x100-2-48,1.28531E+09,2%
L/512x512x100-3-48,1.14403E+09,3%
L/512x512x100-4-48,1.09873E+09,1%
L/512x512x100-5-48,1.04794E+09,1%
L/512x512x100-6-48,1.01278E+09,2%
L/512x512x100-7-48,9.88643E+08,1%
L/512x512x100-8-48,9.89040E+08,2%
L/512x512x100-9-48,9.78242E+08,2%
L/512x512x100-10-48,9.62480E+08,2%
L/512x512x100-11-48,9.38145E+08,2%
L/512x512x100-12-48,9.29506E+08,1%
L/512x512x100-13-48,9.24596E+08,1%
L/512x512x100-14-48,9.40050E+08,1%
L/512x512x100-15-48,9.25408E+08,2%
L/512x512x100-16-48,9.16703E+08,2%
