name,time/op (ns/op),±
L/512x512x100-1-48,1.39709E+09,1%
L/512x512x100-2-48,1.16879E+09,2%
L/512x512x100-3-48,1.07006E+09,1%
L/512x512x100-4-48,1.01372E+09,1%
L/512x512x100-5-48,9.79075E+08,2%
L/512x512x100-6-48,9.38441E+08,2%
L/512x512x100-7-48,9.24573E+08,0%
L/512x512x100-8-48,9.15405E+08,2%
L/512x512x100-9-48,9.70224E+08,22%
L/512x512x100-10-48,9.31681E+08,4%
L/512x512x100-11-48,8.95820E+08,1%
L/512x512x100-12-48,8.98747E+08,1%
L/512x512x100-13-48,8.89455E+08,1%
L/512x512x100-14-48,8.93200E+08,1%
L/512x512x100-15-48,8.99252E+08,1%
L/512x512x100-16-48,9.08432E+08,1%
